	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	project	condition	reference_condition	strain_description	base_media	carbon_source	treatment	temperature	pH	OD	growth_phase	notes	skip	full_name	passed_replicate_correlations
ERX1819440	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752050	ERP020479	PRJEB18541	362321	ERS1470416	SAMEA24226168	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624948	6239572			28099413					True	True	True	spbeta	phi3T_nopep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37.0						spbeta:phi3T_nopep_10m	True
ERX1819441	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752051	ERP020479	PRJEB18541	362321	ERS1470417	SAMEA24226918	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624949	6239573			28099413					True	True	True	spbeta	phi3T_nopep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37.0						spbeta:phi3T_nopep_20m	True
ERX1819442	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752052	ERP020479	PRJEB18541	362321	ERS1470418	SAMEA24227668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624950	6239574			28099413					True	True	True	spbeta	phi3T_pep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37.0						spbeta:phi3T_pep_10m	True
ERX1819443	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752053	ERP020479	PRJEB18541	362321	ERS1470419	SAMEA24228418	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624951	6239575			28099413					True	True	True	spbeta	phi3T_pep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37.0						spbeta:phi3T_pep_20m	True
ERX1819444	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752054	ERP020479	PRJEB18541	362321	ERS1470420	SAMEA24229168	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624952	6239576			28099413					True	True	True	spbeta	phi3T_nopep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37.0						spbeta:phi3T_nopep_10m	True
ERX1819445	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752055	ERP020479	PRJEB18541	362321	ERS1470421	SAMEA24229918	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624953	6239577			28099413					True	True	True	spbeta	phi3T_nopep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37.0						spbeta:phi3T_nopep_20m	True
ERX1981712	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923985	ERP022535	PRJEB20385	599627	ERS1662164	SAMEA103972996	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0.0	9836640	13746701			31840842	168	RNase J1 deletion			True	True	True	rnase_j1	delrnjA	wt	LK1371 del_rnjA	LB			37.0		0.4	mid-exponential			rnase_j1:delrnjA	True
ERX1981713	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923986	ERP022535	PRJEB20385	599627	ERS1662165	SAMEA103972997	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0.0	9836641	13746702			31840842	168	RNase J1 deletion			True	True	True	rnase_j1	delrnjA	wt	LK1371 del_rnjA	LB			37.0		0.4	mid-exponential			rnase_j1:delrnjA	True
ERX1981714	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923987	ERP022535	PRJEB20385	599627	ERS1662166	SAMEA103972998	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0.0	9836642	13746703			31840842	168	RNase J1 deletion			True	True	True	rnase_j1	delrnjA	wt	LK1371 del_rnjA	LB			37.0		0.4	mid-exponential			rnase_j1:delrnjA	True
ERX1981715	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923988	ERP022535	PRJEB20385	599627	ERS1662167	SAMEA103972999	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0.0	9836643	13746704			31840842	168	wild type genotype			True	True	True	rnase_j1	wt	wt	LK1371	LB			37.0		0.4	mid-exponential			rnase_j1:wt	True
ERX1981716	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923989	ERP022535	PRJEB20385	599627	ERS1662168	SAMEA103973000	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0.0	9836644	13746705			31840842	168	wild type genotype			True	True	True	rnase_j1	wt	wt	LK1371	LB			37.0		0.4	mid-exponential			rnase_j1:wt	True
ERX1981717	2020-01-09 7:16:40	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1923990	ERP022535	PRJEB20385	599627	ERS1662169	SAMEA103973001	ERA879695	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Genomics Core Facility, Heidelberg, Germany	0	0.0	9836645	13746706			31840842	168	wild type genotype			True	True	True	rnase_j1	wt	wt	LK1371	LB			37.0		0.4	mid-exponential			rnase_j1:wt	True
ERX2274784	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221411	ERP105747	PRJEB23963	478175	ERS2048944	SAMEA104431002	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845052	9553352			29914988	168	rsgI mutant			True	True	True	sigI	delrsgI_37C	wt_37C	168 trp C2 del_rsgI	LB			37.0		0.5	mid-exponential			sigI:delrsgI_37C	True
ERX2274785	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221412	ERP105747	PRJEB23963	478175	ERS2048945	SAMEA104431003	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845053	9553353			29914988	168	rsgI mutant			True	True	True	sigI	delrsgI_37C	wt_37C	168 trp C2 del_rsgI	LB			37.0		0.5	mid-exponential			sigI:delrsgI_37C	True
ERX2274786	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221413	ERP105747	PRJEB23963	478175	ERS2048946	SAMEA104431004	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845054	9553354			29914988	168	rsgI mutant			True	True	True	sigI	delrsgI_37C	wt_37C	168 trp C2 del_rsgI	LB			37.0		0.5	mid-exponential			sigI:delrsgI_37C	True
ERX2274787	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221414	ERP105747	PRJEB23963	478175	ERS2048947	SAMEA104431005	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845055	9553355			29914988	168	rsgI mutant			True	True	True	sigI	delrsgI_52C	wt_37C	168 trp C2 del_rsgI	LB			52.0		0.5	mid-exponential			sigI:delrsgI_52C	True
ERX2274788	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221415	ERP105747	PRJEB23963	478175	ERS2048948	SAMEA104431006	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845056	9553356			29914988	168	rsgI mutant			True	True	True	sigI	delrsgI_52C	wt_37C	168 trp C2 del_rsgI	LB			52.0		0.5	mid-exponential			sigI:delrsgI_52C	True
ERX2274789	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221416	ERP105747	PRJEB23963	478175	ERS2048949	SAMEA104431007	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845057	9553357			29914988	168	rsgI mutant			True	True	True	sigI	delrsgI_52C	wt_37C	168 trp C2 del_rsgI	LB			52.0		0.5	mid-exponential			sigI:delrsgI_52C	True
ERX2274790	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221417	ERP105747	PRJEB23963	478175	ERS2048950	SAMEA104431008	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845058	9553358			29914988	168	sigI-rsgI knockout			True	True	True	sigI	delrsgI_sigI_37C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			37.0		0.5	mid-exponential			sigI:delrsgI_sigI_37C	True
ERX2274791	2018-07-03 16:16:46	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221418	ERP105747	PRJEB23963	478175	ERS2048951	SAMEA104431009	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845059	9553359			29914988	168	sigI-rsgI knockout			True	True	True	sigI	delrsgI_sigI_37C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			37.0		0.5	mid-exponential			sigI:delrsgI_sigI_37C	True
ERX2274792	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221419	ERP105747	PRJEB23963	478175	ERS2048952	SAMEA104431010	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845060	9553360			29914988	168	sigI-rsgI knockout			True	True	True	sigI	delrsgI_sigI_37C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			37.0		0.5	mid-exponential			sigI:delrsgI_sigI_37C	True
ERX2274793	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221420	ERP105747	PRJEB23963	478175	ERS2048953	SAMEA104431011	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845061	9553361			29914988	168	sigI-rsgI knockout			True	True	True	sigI	delrsgI_sigI_52C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			52.0		0.5	mid-exponential			sigI:delrsgI_sigI_52C	True
ERX2274794	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221421	ERP105747	PRJEB23963	478175	ERS2048954	SAMEA104431012	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845062	9553362			29914988	168	sigI-rsgI knockout			True	True	True	sigI	delrsgI_sigI_52C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			52.0		0.5	mid-exponential			sigI:delrsgI_sigI_52C	True
ERX2274795	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221422	ERP105747	PRJEB23963	478175	ERS2048955	SAMEA104431013	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845063	9553363			29914988	168	sigI-rsgI knockout			True	True	True	sigI	delrsgI_sigI_52C	wt_37C	168 trp C2 del_rsgI del_sigI	LB			52.0		0.5	mid-exponential			sigI:delrsgI_sigI_52C	True
ERX2274796	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221423	ERP105747	PRJEB23963	478175	ERS2048956	SAMEA104431014	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845064	9553364			29914988	168	wild type genotype			True	True	True	sigI	wt_37C	wt_37C	168 trp C2	LB			37.0		0.5	mid-exponential			sigI:wt_37C	True
ERX2274797	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221424	ERP105747	PRJEB23963	478175	ERS2048957	SAMEA104431015	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845065	9553365			29914988	168	wild type genotype			True	True	True	sigI	wt_37C	wt_37C	168 trp C2	LB			37.0		0.5	mid-exponential			sigI:wt_37C	True
ERX2274798	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221425	ERP105747	PRJEB23963	478175	ERS2048958	SAMEA104431016	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845066	9553366			29914988	168	wild type genotype			True	True	True	sigI	wt_37C	wt_37C	168 trp C2	LB			37.0		0.5	mid-exponential			sigI:wt_37C	True
ERX2274799	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221426	ERP105747	PRJEB23963	478175	ERS2048959	SAMEA104431017	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845067	9553367			29914988	168	wild type genotype			True	True	True	sigI	wt_52C	wt_37C	168 trp C2	LB			52.0		0.5	mid-exponential			sigI:wt_52C	True
ERX2274800	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221427	ERP105747	PRJEB23963	478175	ERS2048960	SAMEA104431018	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845068	9553368			29914988	168	wild type genotype			True	True	True	sigI	wt_52C	wt_37C	168 trp C2	LB			52.0		0.5	mid-exponential			sigI:wt_52C	True
ERX2274801	2018-07-03 16:16:47	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2221428	ERP105747	PRJEB23963	478175	ERS2048961	SAMEA104431019	ERA1159214	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		Olga Ramaniuk	0	0.0	5845069	9553369			29914988	168	wild type genotype			True	True	True	sigI	wt_52C	wt_37C	168 trp C2	LB			52.0		0.5	mid-exponential			sigI:wt_52C	True
ERX3440914	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417386;ERR3417387;ERR3417388;ERR3417389	ERP116158	PRJEB33371	614692	ERS3563428	SAMEA5759979	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	318	26.8	10470322	14499721			32061128	168	wild type genotype			True	True	True	spore_genes	wt_0h	wt_0h	168	DSM			37.0	7.0		sporulation initiation			spore_genes:wt_0h	True
ERX3440915	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417390;ERR3417391;ERR3417392;ERR3417393	ERP116158	PRJEB33371	614692	ERS3563429	SAMEA5759980	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	312	26.8	10470323	14499722			32061128	168	knockout mutant yphF			True	True	True	spore_genes	delyphF_0h	wt_0h	168 del_yphF	DSM			37.0	7.0		sporulation initiation			spore_genes:delyphF_0h	True
ERX3440916	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417394;ERR3417395;ERR3417396;ERR3417397	ERP116158	PRJEB33371	614692	ERS3563430	SAMEA5759981	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	314	26.8	10470324	14499723			32061128	168	knockout mutant yphF			True	True	True	spore_genes	delyphF_0h	wt_0h	168 del_yphF	DSM			37.0	7.0		sporulation initiation			spore_genes:delyphF_0h	True
ERX3440917	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417398;ERR3417399;ERR3417400;ERR3417401	ERP116158	PRJEB33371	614692	ERS3563431	SAMEA5759982	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	307	26.8	10470325	14499724			32061128	168	knockout mutant yphF			True	True	True	spore_genes	delyphF_0h	wt_0h	168 del_yphF	DSM			37.0	7.0		sporulation initiation			spore_genes:delyphF_0h	True
ERX3440918	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417402;ERR3417403;ERR3417404;ERR3417405	ERP116158	PRJEB33371	614692	ERS3563432	SAMEA5759983	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	309	26.8	10470326	14499725			32061128	168	knockout mutant ygaB			True	True	True	spore_genes	delygaB_0h	wt_0h	168 del_ygaB	DSM			37.0	7.0		sporulation initiation			spore_genes:delygaB_0h	True
ERX3440919	2020-04-01 22:24:01	135461	Bacillus subtilis subsp. subtilis	1423	91061	135461	Bacillus subtilis	PAIRED	ILLUMINA	NextSeq 500	ERR3417406;ERR3417407;ERR3417408;ERR3417409	ERP116158	PRJEB33371	614692	ERS3563433	SAMEA5759984	ERA2032528	RNA-Seq	cDNA	TRANSCRIPTOMIC		Novo Nordisk Foundation Center for Biosustainability, Next Generation Sequencing laboratory	307	26.8	10470327	14499726			32061128	168	knockout mutant ygaB			True	True	True	spore_genes	delygaB_0h	wt_0h	168 del_ygaB	DSM			37.0	7.0		sporulation initiation			spore_genes:delygaB_0h	True
