,imodulon,gene_ontology,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size
40,SwrA,positive chemotaxis,9.590860233008063e-05,0.039929948103423575,0.08,0.6666666666666666,0.14285714285714285,2.0,5.0,25.0
41,YlxR-2,arginine biosynthetic process,4.223059713651934e-07,0.0005274601582351266,0.23076923076923078,0.5,0.3157894736842105,3.0,6.0,13.0
42,YlxR-2,arginine biosynthetic process via ornithine,8.341666087374256e-06,0.005209370471565223,0.15384615384615385,1.0,0.2666666666666667,2.0,2.0,13.0
43,YlxR-2,nitrogen compound metabolic process,0.00012427817429725788,0.051741146565758366,0.15384615384615385,0.3333333333333333,0.21052631578947367,2.0,6.0,13.0
44,Thi-box,thiamine biosynthetic process,7.48644258070406e-09,9.350566783299373e-06,0.18181818181818182,0.6666666666666666,0.28571428571428575,4.0,6.0,22.0
45,NusA,tRNA threonylcarbamoyladenosine modification,2.5938590225843184e-05,0.032397299192078136,0.023255813953488372,1.0,0.04545454545454545,3.0,4.0,129.0
46,Fur,siderophore-dependent iron import into cell,3.1176963326869935e-08,3.894002719526055e-05,0.1,0.8,0.1777777777777778,4.0,5.0,40.0
47,CcpA-1,carbohydrate transmembrane transport,2.5929665691471373e-05,0.008096538112161936,0.036585365853658534,0.75,0.0697674418604651,3.0,4.0,82.0
48,CcpA-1,protein-phosphocysteine-trehalose phosphotransferase system transporter activity,2.5929665691471373e-05,0.008096538112161936,0.036585365853658534,0.75,0.0697674418604651,3.0,4.0,82.0
49,CcpA-1,rhamnose catabolic process,6.57251862754266e-06,0.008096538112161936,0.036585365853658534,1.0,0.07058823529411765,3.0,3.0,82.0
50,CcpA-1,trehalose transport,2.5929665691471373e-05,0.008096538112161936,0.036585365853658534,0.75,0.0697674418604651,3.0,4.0,82.0
51,CcpA-1,protein-phosphocysteine-sugar phosphotransferase activity,3.58115094773193e-05,0.008945715067434362,0.04878048780487805,0.36363636363636365,0.08602150537634409,4.0,11.0,82.0
52,CcpA-1,phosphoenolpyruvate-dependent sugar phosphotransferase system,0.00010400536260346664,0.02165044964862164,0.04878048780487805,0.2857142857142857,0.08333333333333334,4.0,14.0,82.0
53,CcpN,proline dehydrogenase activity,1.6041665552642708e-06,0.002003604027525074,0.3333333333333333,1.0,0.5,2.0,2.0,6.0
54,CcpN,gluconeogenesis,2.4003172335385136e-05,0.014989981123448019,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,7.0,6.0
55,G-box,purine nucleotide biosynthetic process,1.3479081565622945e-07,0.0001683537287546306,0.2,0.75,0.31578947368421056,3.0,4.0,15.0
56,G-box,'de novo' IMP biosynthetic process,1.1229165886849916e-05,0.007012614096337773,0.13333333333333333,1.0,0.23529411764705882,2.0,2.0,15.0
57,G-box,cytosol,0.00010324099339254674,0.04298266691576363,0.4,0.024390243902439025,0.04597701149425288,6.0,246.0,15.0
58,ResD,cytochrome-c oxidase activity,2.9141491151537778e-08,3.6397722448270685e-05,0.06896551724137931,1.0,0.12903225806451613,4.0,4.0,58.0
59,ResD,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",9.8967239023211e-07,0.0006180504076999527,0.06896551724137931,0.5714285714285714,0.12307692307692308,4.0,7.0,58.0
60,ResD,ATP synthesis coupled electron transport,2.246497633115513e-05,0.00701468885940319,0.05172413793103448,0.6,0.09523809523809525,3.0,6.0,58.0
61,ResD,aerobic respiration,2.246497633115513e-05,0.00701468885940319,0.05172413793103448,0.6,0.09523809523809525,3.0,5.0,58.0
62,ResD,electron transport coupled proton transport,4.450152603848547e-05,0.011116481204413671,0.05172413793103448,0.5,0.09375,3.0,6.0,58.0
63,ResD,aerobic electron transport chain,7.713541627445108e-05,0.016057022487798233,0.05172413793103448,0.42857142857142855,0.0923076923076923,3.0,7.0,58.0
64,ResD,cytochrome complex,0.0005257574804522467,0.08208388663560703,0.034482758620689655,0.6666666666666666,0.06557377049180328,2.0,3.0,58.0
65,ResD,respiratory electron transport chain,0.0005257574804522467,0.08208388663560703,0.034482758620689655,0.6666666666666666,0.06557377049180328,2.0,3.0,58.0
66,GlpP,beta-glucosidase activity,4.988033894858303e-05,0.06230054334678021,0.15384615384615385,0.5,0.23529411764705882,2.0,4.0,13.0
67,GlpP,carbohydrate catabolic process,0.00012427817429725788,0.07761171984863754,0.15384615384615385,0.3333333333333333,0.21052631578947367,2.0,6.0,13.0
68,MntR,response to zinc ion,3.206848801902872e-06,0.004005354153576688,0.4,0.6666666666666666,0.5,2.0,3.0,5.0
69,FapR,fatty acid elongation,3.8375445178439926e-05,0.04793093102787147,0.2222222222222222,0.4,0.2857142857142857,2.0,6.0,9.0
