SubtiWiki,BSU_number,FuncId,FuncName1,FuncName2,FuncName3,FuncName4,FuncName5
spoVB,BSU_27670,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
spoVE,BSU_15210,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
walJ,BSU_40370,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
yabM,BSU_00570,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
ykuQ,BSU_14180,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
ykuR,BSU_14190,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
yrpC,BSU_26810,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
ytgP,BSU_30050,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
gcaD,BSU_00500,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
ldt,BSU_14040,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
alr,BSU_04640,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of peptidoglycan,NA
dgkB,BSU_06720,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
yfnI,BSU_07260,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
yqgS,BSU_24840,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
yvgJ,BSU_33360,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
ltaS,BSU_07710,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
dgkA,BSU_25310,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of lipoteichoic acid,NA
dltA,BSU_38500,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
dltB,BSU_38510,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
dltC,BSU_38520,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
dltD,BSU_38530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
dltE,BSU_38540,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
ggaA,BSU_35690,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
ggaB,BSU_35680,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
pgcA,BSU_09310,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
gtaB,BSU_35670,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
gtaC,BSU_38210,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
mnaA,BSU_35660,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagA,BSU_35750,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagB,BSU_35760,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagC,BSU_35770,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagD,BSU_35740,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagE,BSU_35730,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagF,BSU_35720,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tagO,BSU_35530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichoic acid,NA
tuaA/1,BSU_35609,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaA/2,BSU_35610,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaB,BSU_35600,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaC,BSU_35590,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaD,BSU_35580,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaE,BSU_35570,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaF,BSU_35560,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaG,BSU_35550,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tuaH,BSU_35540,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of teichuronic acid,NA
tagG,BSU_35710,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,export of anionic polymers and attachment to peptidoglycan,NA
tagH,BSU_35700,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,export of anionic polymers and attachment to peptidoglycan,NA
tagT,BSU_35840,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,export of anionic polymers and attachment to peptidoglycan,NA
tagU,BSU_35650,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,export of anionic polymers and attachment to peptidoglycan,NA
tagV,BSU_35520,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,export of anionic polymers and attachment to peptidoglycan,NA
dacA,BSU_00100,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpC,BSU_04140,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpF,BSU_10110,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpH,BSU_13980,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpB,BSU_15160,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
spoVD,BSU_15170,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpX,BSU_16950,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
dacC,BSU_18350,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
ponA,BSU_22320,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
dacB,BSU_23190,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
dacF,BSU_23480,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpA,BSU_25000,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpI,BSU_27310,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpD,BSU_31490,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpE,BSU_34440,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
pbpG,BSU_37510,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,penicillin-binding proteins,NA
uppS,BSU_16530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of the carrier lipid undecaprenylphosphate,NA
bcrC,BSU_36530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall synthesis,biosynthesis of the carrier lipid undecaprenylphosphate,NA
dynA,BSU_22030,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
mreBH,BSU_14470,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
rodZ,BSU_16910,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
mreD,BSU_28010,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
mreC,BSU_28020,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
mreB,BSU_28030,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
mbl,BSU_36410,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
rodA,BSU_38120,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
yvcK,BSU_34760,SW 1.1,Cellular processes,cell envelope and cell division,cell shape,NA,NA
cwlK,BSU_02810,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlT,BSU_04970,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytF,BSU_09370,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytE,BSU_09420,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
xlyB,BSU_12460,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
xepA,BSU_12780,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
xlyA,BSU_12810,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
iseA,BSU_18380,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
yocH,BSU_19210,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlS,BSU_19410,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
blyA,BSU_21410,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlH,BSU_25710,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlA,BSU_25900,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
ysbB,BSU_28900,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytT,BSU_28920,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytS,BSU_28930,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytG,BSU_31120,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
pbpE,BSU_34440,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlO,BSU_34800,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytC,BSU_35620,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytB,BSU_35630,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytA,BSU_35640,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
lytD,BSU_35780,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlQ,BSU_11570,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
cwlP,BSU_21350,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis,NA
ytkC,BSU_30640,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis/ based on similarity,NA
ykvT,BSU_13820,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,autolysis/ based on similarity,NA
nagZ,BSU_01660,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
amiE,BSU_01670,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
murP,BSU_01680,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
murR,BSU_01690,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
murQ,BSU_01700,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
nagA,BSU_35010,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
nagB,BSU_35020,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
gamP,BSU_02350,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
gamA,BSU_02360,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
ybgA,BSU_02370,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,utilization of cell wall components,NA
yqiI,BSU_24190,SW 1.1,Cellular processes,cell envelope and cell division,cell wall degradation/ turnover,additional genes,NA
ggt,BSU_18410,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
pgdS,BSU_35860,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
capE,BSU_35870,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
capA,BSU_35880,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
capC,BSU_35890,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
capB,BSU_35900,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation,NA,NA
yodU,BSU_19810,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation/ based on similarity,NA,NA
ypqP,BSU_21670,SW 1.1,Cellular processes,cell envelope and cell division,capsule biosynthesis and degradation/ based on similarity,NA,NA
cpgA,BSU_15780,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
cwlJ,BSU_02600,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
ydjM,BSU_06250,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
wprA,BSU_10770,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
ykfB,BSU_12980,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
ykfC,BSU_12990,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
cwlC,BSU_17410,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
spoIIM,BSU_23530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
yqgT,BSU_24830,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
spoIIP,BSU_25530,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
lytH,BSU_32340,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
spoIID,BSU_36750,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
wapA,BSU_39230,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
yycI,BSU_40380,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
yycH,BSU_40390,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
walK,BSU_40400,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
walR,BSU_40410,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
pdaC,BSU_12100,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other,NA,NA
yabE,BSU_00400,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
ylbI,BSU_15020,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
yngB,BSU_18180,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
yodJ,BSU_19620,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
ybfG,BSU_02200,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
yrvJ,BSU_27580,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
ydhD,BSU_05710,SW 1.1,Cellular processes,cell envelope and cell division,cell wall/ other/ based on similarity,NA,NA
floT,BSU_31010,SW 1.1,Cellular processes,cell envelope and cell division,membrane dynamics,NA,NA
dynA,BSU_22030,SW 1.1,Cellular processes,cell envelope and cell division,membrane dynamics,NA,NA
fabF,BSU_11340,SW 1.1,Cellular processes,cell envelope and cell division,membrane dynamics,NA,NA
yuaF,BSU_31020,SW 1.1,Cellular processes,cell envelope and cell division,membrane dynamics,NA,NA
floA,BSU_25380,SW 1.1,Cellular processes,cell envelope and cell division,membrane dynamics,NA,NA
spoVG,BSU_00490,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
divIC,BSU_00620,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
dynA,BSU_22030,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ftsH,BSU_00690,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
disA,BSU_00880,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ftsW,BSU_14850,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ftsL,BSU_15150,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
divIB,BSU_15240,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ftsA,BSU_15280,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ftsZ,BSU_15290,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
sepF,BSU_15390,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
divIVA,BSU_15420,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
rasP,BSU_16560,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
yneA,BSU_17860,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
gpsB,BSU_22180,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
minD,BSU_27990,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
minC,BSU_28000,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
maf,BSU_28050,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
zapA,BSU_28610,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ezrA,BSU_29610,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
minJ,BSU_35220,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
racA,BSU_37030,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
noc,BSU_40990,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
ugtP,BSU_21920,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
walJ,BSU_40370,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
refZ,BSU_29630,SW 1.1,Cellular processes,cell envelope and cell division,cell division,NA,NA
yjoB,BSU_12420,SW 1.1,Cellular processes,cell envelope and cell division,cell division/ based on similarity,NA,NA
ybxA,BSU_01450,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ybaE,BSU_01460,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ybaF,BSU_01470,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
feuC,BSU_01610,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
feuB,BSU_01620,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
feuA,BSU_01630,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
skfE,BSU_01950,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
skfF,BSU_01960,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ycbN,BSU_02570,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
natA,BSU_02750,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
natB,BSU_02760,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
znuA,BSU_02850,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
znuC,BSU_02860,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
znuB,BSU_02870,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
opuAA,BSU_02980,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
opuAB,BSU_02990,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
opuAC,BSU_03000,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yckA,BSU_03370,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yckB,BSU_03380,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
tcyC,BSU_03590,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
tcyB,BSU_03600,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
tcyA,BSU_03610,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclH,BSU_03730,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclI,BSU_03740,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclN,BSU_03800,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclO,BSU_03810,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclP,BSU_03820,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yclQ,BSU_03830,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ydbA,BSU_04390,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ydbJ,BSU_04490,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ydbK,BSU_04500,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
vmlR,BSU_05610,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ydiF,BSU_05950,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yesO,BSU_06970,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yesP,BSU_06980,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yesQ,BSU_06990,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
lplA,BSU_07100,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
lplB,BSU_07110,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
lplC,BSU_07120,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfmR,BSU_07370,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfmM,BSU_07420,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfmF,BSU_07490,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfmD,BSU_07510,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfmC,BSU_07520,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiB,BSU_08210,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiC,BSU_08220,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiL,BSU_08310,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiM,BSU_08320,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiN,BSU_08330,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiY,BSU_08440,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfiZ,BSU_08450,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yfhA,BSU_08460,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ygaD,BSU_08690,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ssuB,BSU_08830,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ssuA,BSU_08840,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ssuC,BSU_08850,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhcE,BSU_09050,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhcG,BSU_09070,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhcH,BSU_09080,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhcI,BSU_09090,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhcJ,BSU_09110,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
bmrC,BSU_09710,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
bmrD,BSU_09720,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhaQ,BSU_09890,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhaP,BSU_09900,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ecsA,BSU_10040,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
ecsB,BSU_10050,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhfQ,BSU_10330,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
yhjP,BSU_10590,SW 1.2,Cellular processes,transporters,ABC transporters,NA,NA
