UniProtKB	P45949	arsR		GO:0006355	GO_REF:0000033	IBA	PANTHER:PTN002108422|UniProtKB:P37309	P	Arsenical resistance operon repressor	UniProtKB:P45949|PTN002108560	protein	NCBITaxon:224308	20170228	GO_Central			regulation of DNA-templated transcription
UniProtKB	P49852	hmp		GO:0005622	GO_REF:0000033	IBA	PANTHER:PTN001116481|SGD:S000003466	C	Flavohemoprotein	UniProtKB:P49852|PTN000531899	protein	NCBITaxon:224308	20200810	GO_Central			intracellular anatomical structure
UniProtKB	P49852	hmp		GO:0071500	GO_REF:0000033	IBA	PANTHER:PTN001116481|PomBase:SPAC869.02c|UniProtKB:Q5AX11|dictyBase:DDB_G0292380|CGD:CAL0000179202|dictyBase:DDB_G0292378	P	Flavohemoprotein	UniProtKB:P49852|PTN000531899	protein	NCBITaxon:224308	20231109	GO_Central			cellular response to nitrosative stress
UniProtKB	P49852	hmp		GO:0071949	GO_REF:0000033	IBA	PANTHER:PTN001116481|UniProtKB:P24232	F	Flavohemoprotein	UniProtKB:P49852|PTN000531899	protein	NCBITaxon:224308	20170228	GO_Central			FAD binding
UniProtKB	P49852	hmp		GO:0008941	GO_REF:0000033	IBA	PANTHER:PTN001116481|UniProtKB:P24232|CGD:CAL0000179202	F	Flavohemoprotein	UniProtKB:P49852|PTN000531899	protein	NCBITaxon:224308	20170228	GO_Central			nitric oxide dioxygenase NAD(P)H activity
UniProtKB	P49852	hmp		GO:0046210	GO_REF:0000033	IBA	PANTHER:PTN001116481|CGD:CAL0000179202	P	Flavohemoprotein	UniProtKB:P49852|PTN000531899	protein	NCBITaxon:224308	20170228	GO_Central			nitric oxide catabolic process
UniProtKB	P49849	mutS		GO:0030983	GO_REF:0000033	IBA	PANTHER:PTN000145832|UniProtKB:P23909	F	DNA mismatch repair protein MutS	UniProtKB:P49849|PTN000145833	protein	NCBITaxon:224308	20210924	GO_Central			mismatched DNA binding
UniProtKB	P49849	mutS		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN002260803|UniProtKB:P23909	C	DNA mismatch repair protein MutS	UniProtKB:P49849|PTN000145833	protein	NCBITaxon:224308	20180917	GO_Central			cytosol
UniProtKB	P49849	mutS		GO:0006298	GO_REF:0000033	IBA	PANTHER:PTN000145832|UniProtKB:P23909	P	DNA mismatch repair protein MutS	UniProtKB:P49849|PTN000145833	protein	NCBITaxon:224308	20210924	GO_Central			mismatch repair
UniProtKB	P49814	mdh		GO:0030060	GO_REF:0000033	IBA	PANTHER:PTN000166149|TAIR:locus:2079177|SGD:S000002236|RGD:619719|TAIR:locus:2009605|SGD:S000001568|TAIR:locus:2086340|MGI:MGI:97050|SGD:S000005486|UniProtKB:C6KT25|UniProtKB:P40926|WB:WBGene00003162	F	Malate dehydrogenase	UniProtKB:P49814|PTN000166265	protein	NCBITaxon:224308	20230110	GO_Central			L-malate dehydrogenase activity
UniProtKB	P49814	mdh		GO:0005737	GO_REF:0000033	IBA	PANTHER:PTN000166149|UniProtKB:P40926|SGD:S000005486|TAIR:locus:2062240|FB:FBgn0262559|MGI:MGI:97050|UniProtKB:C6KT25|RGD:619719|UniProtKB:P61889|UniProtKB:Q9ZP05|SGD:S000002236|TAIR:locus:2009605|SGD:S000001568|TAIR:locus:2079177	C	Malate dehydrogenase	UniProtKB:P49814|PTN000166265	protein	NCBITaxon:224308	20230602	GO_Central			cytoplasm
UniProtKB	P49786	accB		GO:0003989	GO_REF:0000033	IBA	PANTHER:PTN000568190|UniProtKB:P0ABD8|TAIR:locus:2171307	F	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	UniProtKB:P49786|PTN000429723	protein	NCBITaxon:224308	20220223	GO_Central			acetyl-CoA carboxylase activity
UniProtKB	P49786	accB		GO:0006633	GO_REF:0000033	IBA	PANTHER:PTN000568190|UniProtKB:P0ABD8	P	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	UniProtKB:P49786|PTN000429723	protein	NCBITaxon:224308	20220223	GO_Central			fatty acid biosynthetic process
UniProtKB	P49778	efp		GO:0005737	GO_REF:0000033	IBA	PANTHER:PTN000769376|UniProtKB:P0A6N8|UniProtKB:P0A6N4	C	Elongation factor P	UniProtKB:P49778|PTN001247394	protein	NCBITaxon:224308	20200809	GO_Central			cytoplasm
UniProtKB	P49778	efp		GO:0003746	GO_REF:0000033	IBA	PANTHER:PTN000769376|UniProtKB:P0A6N4	F	Elongation factor P	UniProtKB:P49778|PTN001247394	protein	NCBITaxon:224308	20170228	GO_Central			translation elongation factor activity
UniProtKB	P49937	fhuG		GO:0033214	GO_REF:0000033	IBA	PANTHER:PTN001253116|UniProtKB:P15029|UniProtKB:P23877|UniProtKB:P15030|UniProtKB:P23876	P	Iron(3+)-hydroxamate import system permease protein FhuG	UniProtKB:P49937|PTN000766015	protein	NCBITaxon:224308	20230406	GO_Central			siderophore-dependent iron import into cell
UniProtKB	P49937	fhuG		GO:0022857	GO_REF:0000033	IBA	PANTHER:PTN000765980|UniProtKB:P23877|UniProtKB:P15030|UniProtKB:P23876|UniProtKB:P06609|UniProtKB:P15029	F	Iron(3+)-hydroxamate import system permease protein FhuG	UniProtKB:P49937|PTN000766015	protein	NCBITaxon:224308	20230406	GO_Central			transmembrane transporter activity
UniProtKB	P49936	fhuB		GO:0022857	GO_REF:0000033	IBA	PANTHER:PTN000765980|UniProtKB:P23877|UniProtKB:P15030|UniProtKB:P23876|UniProtKB:P06609|UniProtKB:P15029	F	Iron(3+)-hydroxamate import system permease protein FhuB	UniProtKB:P49936|PTN000765999	protein	NCBITaxon:224308	20230406	GO_Central			transmembrane transporter activity
UniProtKB	P49936	fhuB		GO:0033214	GO_REF:0000033	IBA	PANTHER:PTN001253116|UniProtKB:P15029|UniProtKB:P23877|UniProtKB:P15030|UniProtKB:P23876	P	Iron(3+)-hydroxamate import system permease protein FhuB	UniProtKB:P49936|PTN000765999	protein	NCBITaxon:224308	20230406	GO_Central			siderophore-dependent iron import into cell
UniProtKB	O34598	guaD		GO:0047974	GO_REF:0000033	IBA	PANTHER:PTN002544761|UniProtKB:Q94BU8	F	Guanine deaminase	UniProtKB:O34598|PTN000118385	protein	NCBITaxon:224308	20181001	GO_Central			guanosine deaminase activity
UniProtKB	O34598	guaD		GO:0006152	GO_REF:0000033	IBA	PANTHER:PTN002544761|UniProtKB:Q94BU8	P	Guanine deaminase	UniProtKB:O34598|PTN000118385	protein	NCBITaxon:224308	20181001	GO_Central			purine nucleoside catabolic process
UniProtKB	O34597	yfkL		GO:0016020	GO_REF:0000033	IBA	PANTHER:PTN000606970|UniProtKB:P76198|UniProtKB:P76197|UniProtKB:P75810	C	Uncharacterized MFS-type transporter YfkL	UniProtKB:O34597|PTN000607042	protein	NCBITaxon:224308	20181018	GO_Central			membrane
UniProtKB	O34595	thiI		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN001804941|UniProtKB:P77718	C	Probable tRNA sulfurtransferase	UniProtKB:O34595|PTN001804964	protein	NCBITaxon:224308	20230407	GO_Central			cytosol
UniProtKB	O34595	thiI		GO:0002937	GO_REF:0000033	IBA	PANTHER:PTN001804941|UniProtKB:P77718	P	Probable tRNA sulfurtransferase	UniProtKB:O34595|PTN001804964	protein	NCBITaxon:224308	20170228	GO_Central			tRNA 4-thiouridine biosynthesis
UniProtKB	O34595	thiI		GO:0052837	GO_REF:0000033	IBA	PANTHER:PTN001804941|UniProtKB:Q9HU66	P	Probable tRNA sulfurtransferase	UniProtKB:O34595|PTN001804964	protein	NCBITaxon:224308	20170228	GO_Central			thiazole biosynthetic process
UniProtKB	O34577	cysC		GO:0004020	GO_REF:0000033	IBA	PANTHER:PTN000114732|MGI:MGI:1330223|MGI:MGI:1330587|TAIR:locus:2158626|UniProtKB:P9WNM5|UniProtKB:O43252|SGD:S000001484|TAIR:locus:2046901|TAIR:locus:2079379|UniProtKB:P0A6J1|TAIR:locus:2140005	F	Probable adenylyl-sulfate kinase	UniProtKB:O34577|PTN000114734	protein	NCBITaxon:224308	20231108	GO_Central			adenylylsulfate kinase activity
UniProtKB	O34575	ykcB		GO:0016763	GO_REF:0000033	IBA	PANTHER:PTN002141805|UniProtKB:P76473	F	Putative mannosyltransferase YkcB	UniProtKB:O34575|PTN002141838	protein	NCBITaxon:224308	20190829	GO_Central			pentosyltransferase activity
UniProtKB	O34575	ykcB		GO:0005886	GO_REF:0000033	IBA	PANTHER:PTN002141805|UniProtKB:P76473	C	Putative mannosyltransferase YkcB	UniProtKB:O34575|PTN002141838	protein	NCBITaxon:224308	20190829	GO_Central			plasma membrane
UniProtKB	O34575	ykcB		GO:0009103	GO_REF:0000033	IBA	PANTHER:PTN002141825|UniProtKB:P76473	P	Putative mannosyltransferase YkcB	UniProtKB:O34575|PTN002141838	protein	NCBITaxon:224308	20190829	GO_Central			lipopolysaccharide biosynthetic process
UniProtKB	O34575	ykcB		GO:0010041	GO_REF:0000033	IBA	PANTHER:PTN002141825|UniProtKB:P76473	P	Putative mannosyltransferase YkcB	UniProtKB:O34575|PTN002141838	protein	NCBITaxon:224308	20190829	GO_Central			response to iron(III) ion
UniProtKB	O34570	ytlP		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN001439959|UniProtKB:Q9P0M2	C	RNA 2',3'-cyclic phosphodiesterase	UniProtKB:O34570|PTN001814835	protein	NCBITaxon:224308	20230603	GO_Central			cytosol
UniProtKB	O34570	ytlP		GO:0010738	GO_REF:0000033	IBA	PANTHER:PTN001439959|RGD:1303071	P	RNA 2',3'-cyclic phosphodiesterase	UniProtKB:O34570|PTN001814835	protein	NCBITaxon:224308	20170228	GO_Central			regulation of protein kinase A signaling
UniProtKB	O34570	ytlP		GO:0034237	GO_REF:0000033	IBA	PANTHER:PTN001439959|MGI:MGI:1859150|RGD:1303071	F	RNA 2',3'-cyclic phosphodiesterase	UniProtKB:O34570|PTN001814835	protein	NCBITaxon:224308	20170228	GO_Central			protein kinase A regulatory subunit binding
UniProtKB	O34565	hisH		GO:0000107	GO_REF:0000033	IBA	PANTHER:PTN000478058|UniProtKB:P60595	F	Imidazole glycerol phosphate synthase subunit HisH	UniProtKB:O34565|PTN000478063	protein	NCBITaxon:224308	20170228	GO_Central			imidazoleglycerol-phosphate synthase activity
UniProtKB	O34564	ykuU		GO:0033554	GO_REF:0000033	IBA	PANTHER:PTN000073874|UniProtKB:D6XKT6|SGD:S000004490|UniProtKB:P0AE08|MGI:MGI:99523|SGD:S000002861|CGD:CAL0000174369|FB:FBgn0040308|UniProtKB:P32119|WB:WBGene00006434|UniProtKB:P30048|PomBase:SPCC576.03c|MGI:MGI:109486|UniProtKB:P0CU34|UniProtKB:Q8IL80	P	Putative peroxiredoxin YkuU	UniProtKB:O34564|PTN000074090	protein	NCBITaxon:224308	20230109	GO_Central			cellular response to stress
UniProtKB	O34564	ykuU		GO:0008379	GO_REF:0000033	IBA	PANTHER:PTN000073874|WB:WBGene00006434|UniProtKB:P32119|UniProtKB:Q8IL80|UniProtKB:Q8I5Q6|UniProtKB:P0CU34|CGD:CAL0000174369|SGD:S000002861|PomBase:SPCC576.03c|SGD:S000004490|UniProtKB:Q06830|UniProtKB:P30048	F	Putative peroxiredoxin YkuU	UniProtKB:O34564|PTN000074090	protein	NCBITaxon:224308	20230109	GO_Central			thioredoxin peroxidase activity
UniProtKB	O34564	ykuU		GO:0042744	GO_REF:0000033	IBA	PANTHER:PTN000073874|FB:FBgn0040309|WB:WBGene00006434|FB:FBgn0040308|UniProtKB:P0AE08|FB:FBgn0038519|CGD:CAL0000174369|UniProtKB:Q6ER94|UniProtKB:P0CU34|PomBase:SPCC576.03c|UniProtKB:Q06830|MGI:MGI:109486|UniProtKB:P30048	P	Putative peroxiredoxin YkuU	UniProtKB:O34564|PTN000074090	protein	NCBITaxon:224308	20230405	GO_Central			hydrogen peroxide catabolic process
UniProtKB	O34564	ykuU		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN000073874|MGI:MGI:1859815|SGD:S000004490|UniProtKB:P0AE08|UniProtKB:P30048|FB:FBgn0040309|UniProtKB:Q8IL80|FB:FBgn0040308	C	Putative peroxiredoxin YkuU	UniProtKB:O34564|PTN000074090	protein	NCBITaxon:224308	20230602	GO_Central			cytosol
UniProtKB	O34564	ykuU		GO:0006979	GO_REF:0000033	IBA	PANTHER:PTN000073874|RGD:620039|RGD:3838|UniProtKB:Q8IL80|UniProtKB:Q8I5Q6|UniProtKB:P0CU34|MGI:MGI:109486|PomBase:SPCC576.03c|UniProtKB:P30048|FB:FBgn0040309|WB:WBGene00006434|UniProtKB:P32119|FB:FBgn0040308|CGD:CAL0000174369|MGI:MGI:1859815|SGD:S000002861|MGI:MGI:99523|UniProtKB:P0AE08|SGD:S000004490|MGI:MGI:88034	P	Putative peroxiredoxin YkuU	UniProtKB:O34564|PTN000074090	protein	NCBITaxon:224308	20230109	GO_Central			response to oxidative stress
UniProtKB	O34564	ykuU		GO:0045454	GO_REF:0000033	IBA	PANTHER:PTN000073874|UniProtKB:P9WQB7|FB:FBgn0040309|TAIR:locus:2080707|PomBase:SPCC576.03c|SGD:S000004490|TAIR:locus:2164265|FB:FBgn0038519|MGI:MGI:1859815|SGD:S000002861	P	Putative peroxiredoxin YkuU	UniProtKB:O34564|PTN000074090	protein	NCBITaxon:224308	20221006	GO_Central			cell redox homeostasis
UniProtKB	O34563	glnH		GO:0030288	GO_REF:0000033	IBA	PANTHER:PTN001247907|UniProtKB:P37902	C	ABC transporter glutamine-binding protein GlnH	UniProtKB:O34563|PTN000438642	protein	NCBITaxon:224308	20200809	GO_Central			outer membrane-bounded periplasmic space
UniProtKB	O34557	rpe		GO:0046872	GO_REF:0000033	IBA	PANTHER:PTN000202667|UniProtKB:P0AG07|UniProtKB:Q96AT9|UniProtKB:P32719	F	Ribulose-phosphate 3-epimerase	UniProtKB:O34557|PTN000202747	protein	NCBITaxon:224308	20200807	GO_Central			metal ion binding
UniProtKB	O34557	rpe		GO:0009052	GO_REF:0000033	IBA	PANTHER:PTN000202667|RGD:1564890|PomBase:SPAC31G5.05c	P	Ribulose-phosphate 3-epimerase	UniProtKB:O34557|PTN000202747	protein	NCBITaxon:224308	20230405	GO_Central			pentose-phosphate shunt, non-oxidative branch
UniProtKB	O34557	rpe		GO:0004750	GO_REF:0000033	IBA	PANTHER:PTN000202667|RGD:1564890|UniProtKB:Q96AT9|MGI:MGI:1913896|SGD:S000003657|UniProtKB:P0AG07|PomBase:SPAC31G5.05c	F	Ribulose-phosphate 3-epimerase	UniProtKB:O34557|PTN000202747	protein	NCBITaxon:224308	20220922	GO_Central			D-ribulose-phosphate 3-epimerase activity
UniProtKB	O34557	rpe		GO:0005829	GO_REF:0000033	IBA	PANTHER:PTN000202667|UniProtKB:P0AG07|MGI:MGI:1913896	C	Ribulose-phosphate 3-epimerase	UniProtKB:O34557|PTN000202747	protein	NCBITaxon:224308	20220922	GO_Central			cytosol
UniProtKB	O34545	braB		GO:0015820	GO_REF:0000033	IBA	PANTHER:PTN000778731|UniProtKB:P0AD99	P	Branched-chain amino acid transport system carrier protein BraB	UniProtKB:O34545|PTN000778734	protein	NCBITaxon:224308	20170228	GO_Central			leucine transport
UniProtKB	O34545	braB		GO:0015190	GO_REF:0000033	IBA	PANTHER:PTN000778731|UniProtKB:P0AD99	F	Branched-chain amino acid transport system carrier protein BraB	UniProtKB:O34545|PTN000778734	protein	NCBITaxon:224308	20170228	GO_Central			L-leucine transmembrane transporter activity
UniProtKB	O34545	braB		GO:0015829	GO_REF:0000033	IBA	PANTHER:PTN000778731|UniProtKB:P0AD99	P	Branched-chain amino acid transport system carrier protein BraB	UniProtKB:O34545|PTN000778734	protein	NCBITaxon:224308	20170228	GO_Central			valine transport
