,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,kegg_id,pathway_name,module_name,value
12,Rex,ATPase-coupled transmembrane transporter activity,0.00023345854654576543,0.07289743115891525,0.2857142857142857,0.13333333333333333,0.18181818181818182,2.0,15.0,7.0,GO,,,,
13,Rex,electron transfer activity,0.0003019177809906455,0.07541906169146324,0.2857142857142857,0.11764705882352941,0.16666666666666666,2.0,17.0,7.0,GO,,,,
14,Fnr,anaerobic respiration,4.794709590351518e-05,0.05988592278349046,0.2,0.4,0.26666666666666666,2.0,5.0,10.0,GO,,,,
15,PyrR,nitrogen compound metabolic process,1.242928348960175e-07,0.00015524175078512586,0.3333333333333333,0.5,0.4,3.0,6.0,9.0,GO,,,,
16,PyrR,'de novo' pyrimidine nucleobase biosynthetic process,1.1537531005454906e-05,0.00720518811290659,0.2222222222222222,0.6666666666666666,0.3333333333333333,2.0,3.0,9.0,GO,,,,
17,PyrR,cytoplasm,3.764864133993279e-05,0.015674384344525352,0.4444444444444444,0.0380952380952381,0.07017543859649124,4.0,105.0,9.0,GO,,,,
18,CymR-1,positive regulation of cell population proliferation,2.7118318727462575e-07,0.0003387078009060076,0.10344827586206896,1.0,0.1875,3.0,3.0,29.0,GO,,,,
19,CymR-1,cystathionine beta-synthase activity,4.341944142915294e-05,0.013557720586253007,0.06896551724137931,1.0,0.12903225806451613,2.0,2.0,29.0,GO,,,,
20,CymR-1,cysteine biosynthetic process from serine,4.341944142915294e-05,0.013557720586253007,0.06896551724137931,1.0,0.12903225806451613,2.0,2.0,29.0,GO,,,,
21,CymR-1,cysteine synthase activity,4.341944142915294e-05,0.013557720586253007,0.06896551724137931,1.0,0.12903225806451613,2.0,2.0,29.0,GO,,,,
22,CymR-1,pyridoxal phosphate binding,0.0002862949438610914,0.07151647697650064,0.10344827586206896,0.15,0.12244897959183673,3.0,21.0,29.0,GO,,,,
23,stringent response,structural constituent of ribosome,2.048735648297461e-28,2.5588708247235293e-25,0.4857142857142857,0.4722222222222222,0.47887323943661975,17.0,36.0,35.0,GO,,,,
24,stringent response,cytosolic large ribosomal subunit,1.5785556909697741e-27,9.85808029010624e-25,0.42857142857142855,0.625,0.5084745762711864,15.0,24.0,35.0,GO,,,,
25,stringent response,cytosolic small ribosomal subunit,2.952908489671714e-10,1.2293942345333236e-07,0.17142857142857143,0.46153846153846156,0.25000000000000006,6.0,13.0,35.0,GO,,,,
26,stringent response,translation,1.7001197250123401e-06,0.0005308623841351033,0.11428571428571428,0.3333333333333333,0.1702127659574468,4.0,12.0,35.0,GO,,,,
27,stringent response,large ribosomal subunit,4.803608675422665e-06,0.0011999414471205816,0.08571428571428572,0.6,0.15,3.0,5.0,35.0,GO,,,,
28,stringent response,cytoplasmic translation,6.363194002548297e-05,0.013246048848638038,0.05714285714285714,1.0,0.1081081081081081,2.0,2.0,35.0,GO,,,,
29,PhoP,"transferase activity, transferring glycosyl groups",7.135787174105939e-06,0.00891259818045832,0.16666666666666666,0.3,0.21428571428571427,3.0,10.0,18.0,GO,,,,
30,TnrA-1,isoleucine biosynthetic process,7.509665912561705e-08,9.37957272478957e-05,0.10526315789473684,0.6666666666666666,0.18181818181818182,4.0,6.0,38.0,GO,,,,
31,TnrA-1,valine biosynthetic process,6.185002109091327e-06,0.003862533817127534,0.07894736842105263,0.6,0.1395348837209302,3.0,5.0,38.0,GO,,,,
32,TnrA-1,leucine biosynthetic process,7.51819392233854e-05,0.03130074736333612,0.05263157894736842,1.0,0.1,2.0,2.0,38.0,GO,,,,
33,YlxR-1,histidine biosynthetic process,7.204038742049908e-11,8.997844388820335e-08,0.4,0.8,0.5333333333333333,4.0,5.0,10.0,GO,,,,
34,YlxR-1,imidazoleglycerol-phosphate synthase activity,4.812499665792818e-06,0.0030054060412876148,0.2,1.0,0.33333333333333337,2.0,2.0,10.0,GO,,,,
35,SigD,bacterial-type flagellum-dependent swarming motility,3.5886311842315376e-06,0.0030044327430119077,0.08108108108108109,0.23076923076923078,0.12,6.0,32.0,74.0,GO,,,,
36,SigD,positive chemotaxis,4.810941141732438e-06,0.0030044327430119077,0.04054054054054054,1.0,0.07792207792207792,3.0,5.0,74.0,GO,,,,
37,TnrA-2,cellular response to nitrogen levels,5.3044440760738877e-05,0.06625250651016286,0.0625,1.0,0.11764705882352941,2.0,2.0,32.0,GO,,,,
38,SwrA,bacterial-type flagellum-dependent swarming motility,1.527044047626004e-32,1.907278015484879e-29,0.64,0.6153846153846154,0.6274509803921569,16.0,32.0,25.0,GO,,,,
39,SwrA,bacterial-type flagellum assembly,3.602990403304195e-25,2.25006750686347e-22,0.48,0.7058823529411765,0.5714285714285713,12.0,18.0,25.0,GO,,,,
40,SwrA,positive chemotaxis,9.590860233008063e-05,0.039929948103423575,0.08,0.6666666666666666,0.14285714285714285,2.0,5.0,25.0,GO,,,,
41,YlxR-2,arginine biosynthetic process,4.223059713651934e-07,0.0005274601582351266,0.23076923076923078,0.5,0.3157894736842105,3.0,6.0,13.0,GO,,,,
42,YlxR-2,arginine biosynthetic process via ornithine,8.341666087374256e-06,0.005209370471565223,0.15384615384615385,1.0,0.2666666666666667,2.0,2.0,13.0,GO,,,,
43,YlxR-2,nitrogen compound metabolic process,0.00012427817429725788,0.051741146565758366,0.15384615384615385,0.3333333333333333,0.21052631578947367,2.0,6.0,13.0,GO,,,,
44,Thi-box,thiamine biosynthetic process,7.48644258070406e-09,9.350566783299373e-06,0.18181818181818182,0.6666666666666666,0.28571428571428575,4.0,6.0,22.0,GO,,,,
45,NusA,tRNA threonylcarbamoyladenosine modification,2.5938590225843184e-05,0.032397299192078136,0.023255813953488372,1.0,0.04545454545454545,3.0,4.0,129.0,GO,,,,
46,Fur,siderophore-dependent iron import into cell,3.1176963326869935e-08,3.894002719526055e-05,0.1,0.8,0.1777777777777778,4.0,5.0,40.0,GO,,,,
47,CcpA-1,carbohydrate transmembrane transport,2.5929665691471373e-05,0.008096538112161936,0.036585365853658534,0.75,0.0697674418604651,3.0,4.0,82.0,GO,,,,
48,CcpA-1,protein-phosphocysteine-trehalose phosphotransferase system transporter activity,2.5929665691471373e-05,0.008096538112161936,0.036585365853658534,0.75,0.0697674418604651,3.0,4.0,82.0,GO,,,,
49,CcpA-1,rhamnose catabolic process,6.57251862754266e-06,0.008096538112161936,0.036585365853658534,1.0,0.07058823529411765,3.0,3.0,82.0,GO,,,,
50,CcpA-1,trehalose transport,2.5929665691471373e-05,0.008096538112161936,0.036585365853658534,0.75,0.0697674418604651,3.0,4.0,82.0,GO,,,,
51,CcpA-1,protein-phosphocysteine-sugar phosphotransferase activity,3.58115094773193e-05,0.008945715067434362,0.04878048780487805,0.36363636363636365,0.08602150537634409,4.0,11.0,82.0,GO,,,,
52,CcpA-1,phosphoenolpyruvate-dependent sugar phosphotransferase system,0.00010400536260346664,0.02165044964862164,0.04878048780487805,0.2857142857142857,0.08333333333333334,4.0,14.0,82.0,GO,,,,
53,CcpN,proline dehydrogenase activity,1.6041665552642708e-06,0.002003604027525074,0.3333333333333333,1.0,0.5,2.0,2.0,6.0,GO,,,,
54,CcpN,gluconeogenesis,2.4003172335385136e-05,0.014989981123448019,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,7.0,6.0,GO,,,,
55,G-box,purine nucleotide biosynthetic process,1.3479081565622945e-07,0.0001683537287546306,0.2,0.75,0.31578947368421056,3.0,4.0,15.0,GO,,,,
56,G-box,'de novo' IMP biosynthetic process,1.1229165886849916e-05,0.007012614096337773,0.13333333333333333,1.0,0.23529411764705882,2.0,2.0,15.0,GO,,,,
57,G-box,cytosol,0.00010324099339254674,0.04298266691576363,0.4,0.024390243902439025,0.04597701149425288,6.0,246.0,15.0,GO,,,,
58,ResD,cytochrome-c oxidase activity,2.9141491151537778e-08,3.6397722448270685e-05,0.06896551724137931,1.0,0.12903225806451613,4.0,4.0,58.0,GO,,,,
59,ResD,"oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor",9.8967239023211e-07,0.0006180504076999527,0.06896551724137931,0.5714285714285714,0.12307692307692308,4.0,7.0,58.0,GO,,,,
60,ResD,ATP synthesis coupled electron transport,2.246497633115513e-05,0.00701468885940319,0.05172413793103448,0.6,0.09523809523809525,3.0,6.0,58.0,GO,,,,
61,ResD,aerobic respiration,2.246497633115513e-05,0.00701468885940319,0.05172413793103448,0.6,0.09523809523809525,3.0,5.0,58.0,GO,,,,
62,ResD,electron transport coupled proton transport,4.450152603848547e-05,0.011116481204413671,0.05172413793103448,0.5,0.09375,3.0,6.0,58.0,GO,,,,
63,ResD,aerobic electron transport chain,7.713541627445108e-05,0.016057022487798233,0.05172413793103448,0.42857142857142855,0.0923076923076923,3.0,7.0,58.0,GO,,,,
64,ResD,cytochrome complex,0.0005257574804522467,0.08208388663560703,0.034482758620689655,0.6666666666666666,0.06557377049180328,2.0,3.0,58.0,GO,,,,
65,ResD,respiratory electron transport chain,0.0005257574804522467,0.08208388663560703,0.034482758620689655,0.6666666666666666,0.06557377049180328,2.0,3.0,58.0,GO,,,,
66,GlpP,beta-glucosidase activity,4.988033894858303e-05,0.06230054334678021,0.15384615384615385,0.5,0.23529411764705882,2.0,4.0,13.0,GO,,,,
67,GlpP,carbohydrate catabolic process,0.00012427817429725788,0.07761171984863754,0.15384615384615385,0.3333333333333333,0.21052631578947367,2.0,6.0,13.0,GO,,,,
68,MntR,response to zinc ion,3.206848801902872e-06,0.004005354153576688,0.4,0.6666666666666666,0.5,2.0,3.0,5.0,GO,,,,
69,FapR,fatty acid elongation,3.8375445178439926e-05,0.04793093102787147,0.2222222222222222,0.4,0.2857142857142857,2.0,6.0,9.0,GO,,,,
0,S-box,,2.66720263825433e-21,6.001205936072243e-19,0.5652173913043478,0.28888888888888886,0.38235294117647056,13.0,45.0,23.0,,map00270,Cysteine and methionine metabolism,,
1,S-box,,2.1658492407504892e-10,2.4365803958443004e-08,0.7391304347826086,0.02694136291600634,0.051987767584097865,17.0,631.0,23.0,,map01100,Metabolic pathways,,
2,S-box,,3.947294012625777e-09,2.960470509469333e-07,0.391304347826087,0.07563025210084033,0.1267605633802817,9.0,119.0,23.0,,map01230,Biosynthesis of amino acids,,
3,S-box,,1.9582025058279707e-07,1.1014889095282335e-05,0.17391304347826086,0.36363636363636365,0.2352941176470588,4.0,11.0,23.0,,map00450,Selenocompound metabolism,,
4,S-box,,7.820535818625292e-07,3.519241118381381e-05,0.21739130434782608,0.14285714285714285,0.17241379310344826,5.0,35.0,23.0,,map00260,"Glycine, serine and threonine metabolism",,
5,S-box,,7.486647094831933e-05,0.002807492660561975,0.34782608695652173,0.027586206896551724,0.051118210862619806,8.0,290.0,23.0,,map01110,Biosynthesis of secondary metabolites,,
6,S-box,,0.00044790323103214837,0.014396889568890483,0.2608695652173913,0.030303030303030304,0.054298642533936646,6.0,198.0,23.0,,map01120,Microbial metabolism in diverse environments,,
7,WalR,,7.951443320316296e-07,0.00017890747470711665,0.3888888888888889,0.04964539007092199,0.0880503144654088,7.0,141.0,18.0,,map02010,ABC transporters,,
8,Fnr,,3.3836466159077224e-08,7.613204885792376e-06,0.4,0.23529411764705882,0.29629629629629634,4.0,17.0,10.0,,map00910,Nitrogen metabolism,,
9,Fnr,,0.0001298604687515853,0.014609302734553346,0.4,0.031496062992125984,0.058394160583941604,4.0,127.0,10.0,,map02020,Two-component system,,
10,CsoR/Fnr,,0.00031111132753852916,0.07000004869616906,0.045454545454545456,0.23529411764705882,0.07619047619047618,4.0,17.0,88.0,,map00910,Nitrogen metabolism,,
11,SigB-1,,0.00014736943421027763,0.03315812269731247,0.03773584905660377,1.0,0.07272727272727272,2.0,2.0,53.0,,map04113,Meiosis - yeast,,
12,PyrR,,1.5877839653220953e-15,3.572513921974714e-13,0.8888888888888888,0.16,0.27118644067796616,8.0,50.0,9.0,,map00240,Pyrimidine metabolism,,
13,PyrR,,1.5503557132323974e-06,0.0001744150177386447,0.8888888888888888,0.012678288431061807,0.025,8.0,631.0,9.0,,map01100,Metabolic pathways,,
14,PyrR,,3.611734950143282e-05,0.0027088012126074614,0.3333333333333333,0.08823529411764706,0.13953488372093023,3.0,34.0,9.0,,map00250,"Alanine, aspartate and glutamate metabolism",,
15,CodY,,1.5348029204977273e-15,3.4533065711198867e-13,0.2191780821917808,0.25396825396825395,0.23529411764705882,16.0,63.0,73.0,,map02024,Quorum sensing,,
16,CodY,,3.097646624797435e-13,3.484852452897115e-11,0.1232876712328767,0.6,0.20454545454545453,9.0,15.0,73.0,,map01501,beta-Lactam resistance,,
17,CodY,,7.486509361017159e-10,5.614882020762869e-08,0.2191780821917808,0.11347517730496454,0.14953271028037382,16.0,141.0,73.0,,map02010,ABC transporters,,
18,ManR,,0.0002234919595871275,0.05028569090710369,0.5,0.07407407407407407,0.12903225806451613,2.0,27.0,4.0,,map00051,Fructose and mannose metabolism,,
19,CymR-1,,1.0284570282805706e-07,2.314028313631284e-05,0.1724137931034483,0.2631578947368421,0.20833333333333334,5.0,19.0,29.0,,map00920,Sulfur metabolism,,
20,CymR-1,,0.00020096657222190464,0.021472120789581856,0.13793103448275862,0.08888888888888889,0.1081081081081081,4.0,45.0,29.0,,map00270,Cysteine and methionine metabolism,,
21,CymR-1,,0.0002862949438610914,0.021472120789581856,0.10344827586206896,0.15,0.12244897959183673,3.0,20.0,29.0,,map00860,Porphyrin and chlorophyll metabolism,,
22,CymR-1,,0.0016747931962692384,0.09420711729014467,0.20689655172413793,0.030303030303030304,0.05286343612334802,6.0,198.0,29.0,,map01120,Microbial metabolism in diverse environments,,
23,RhgR,,0.00030136515195352057,0.06780715918954212,0.03125,0.3333333333333333,0.05714285714285714,4.0,12.0,128.0,,map00053,Ascorbate and aldarate metabolism,,
24,CymR-2,,1.488612445287868e-07,3.349378001897703e-05,0.38095238095238093,0.05673758865248227,0.09876543209876544,8.0,141.0,21.0,,map02010,ABC transporters,,
25,CymR-2,,1.5197519532917287e-06,0.00017097209474531948,0.19047619047619047,0.21052631578947367,0.2,4.0,19.0,21.0,,map00920,Sulfur metabolism,,
26,stringent response,,1.8568155107072405e-44,4.177834899091291e-42,0.7428571428571429,0.4482758620689655,0.5591397849462366,26.0,58.0,35.0,,map03010,Ribosome,,
27,PhoP,,0.00020862212840791909,0.046939978891781795,0.2777777777777778,0.03546099290780142,0.06289308176100629,5.0,141.0,18.0,,map02010,ABC transporters,,
28,SigB-2,,0.0006766219873895159,0.06023161862460126,0.05357142857142857,0.21428571428571427,0.08571428571428572,3.0,14.0,56.0,,map00380,Tryptophan metabolism,,
29,SigB-2,,0.0004899687954914998,0.06023161862460126,0.03571428571428571,0.6666666666666666,0.06779661016949153,2.0,3.0,56.0,,map04011,MAPK signaling pathway - yeast,,
30,SigB-2,,0.0016061764966560337,0.06023161862460126,0.03571428571428571,0.4,0.06557377049180328,2.0,5.0,56.0,,map04016,MAPK signaling pathway - plant,,
31,SigB-2,,0.0016061764966560337,0.06023161862460126,0.03571428571428571,0.4,0.06557377049180328,2.0,5.0,56.0,,map04068,FoxO signaling pathway,,
32,SigB-2,,0.0016061764966560337,0.06023161862460126,0.03571428571428571,0.4,0.06557377049180328,2.0,5.0,56.0,,map04211,Longevity regulating pathway,,
33,SigB-2,,0.0009717842671806445,0.06023161862460126,0.03571428571428571,0.5,0.06666666666666667,2.0,4.0,56.0,,map05014,Amyotrophic lateral sclerosis,,
34,SigB-2,,0.002389254404938119,0.07679746301586811,0.03571428571428571,0.3333333333333333,0.06451612903225806,2.0,6.0,56.0,,map04213,Longevity regulating pathway - multiple species,,
35,TnrA-1,,7.861231031879851e-17,1.7687769821729665e-14,0.23684210526315788,0.6923076923076923,0.35294117647058826,9.0,13.0,38.0,,map00290,"Valine, leucine and isoleucine biosynthesis",,
36,TnrA-1,,2.239425077921562e-12,2.519353212661757e-10,0.2894736842105263,0.1746031746031746,0.21782178217821782,11.0,63.0,38.0,,map02024,Quorum sensing,,
37,TnrA-1,,8.11975113475357e-12,6.089813351065178e-10,0.34210526315789475,0.1092436974789916,0.16560509554140126,13.0,119.0,38.0,,map01230,Biosynthesis of amino acids,,
38,TnrA-1,,4.4503420302640466e-11,2.5033173920235263e-09,0.21052631578947367,0.2857142857142857,0.24242424242424243,8.0,28.0,38.0,,map01210,2-Oxocarboxylic acid metabolism,,
39,TnrA-1,,1.4402384346756827e-09,6.481072956040571e-08,0.15789473684210525,0.4,0.22641509433962267,6.0,15.0,38.0,,map01501,beta-Lactam resistance,,
40,TnrA-1,,4.899877757054207e-09,1.8374541588953275e-07,0.13157894736842105,0.5555555555555556,0.2127659574468085,5.0,9.0,38.0,,map00660,C5-Branched dibasic acid metabolism,,
41,TnrA-1,,5.007033733633621e-07,1.609403700096521e-05,0.34210526315789475,0.04482758620689655,0.07926829268292683,13.0,290.0,38.0,,map01110,Biosynthesis of secondary metabolites,,
42,TnrA-1,,2.2205112437076256e-05,0.0006245187872927697,0.10526315789473684,0.2,0.13793103448275862,4.0,20.0,38.0,,map00770,Pantothenate and CoA biosynthesis,,
43,TnrA-1,,0.00021832110180534985,0.005458027545133746,0.10526315789473684,0.11428571428571428,0.10958904109589042,4.0,35.0,38.0,,map00260,"Glycine, serine and threonine metabolism",,
44,TnrA-1,,0.0012592383880512751,0.02833286373115369,0.15789473684210525,0.0425531914893617,0.0670391061452514,6.0,141.0,38.0,,map02010,ABC transporters,,
45,TnrA-1,,0.0019204594126631118,0.03928212434992728,0.34210526315789475,0.020602218700475437,0.03886397608370702,13.0,631.0,38.0,,map01100,Metabolic pathways,,
46,YlxR-1,,1.8697154425148252e-18,4.206859745658357e-16,0.8,0.4,0.5333333333333333,8.0,20.0,10.0,,map00340,Histidine metabolism,,
47,YlxR-1,,1.116933691017014e-11,1.2565504023941408e-09,0.8,0.06722689075630252,0.12403100775193798,8.0,119.0,10.0,,map01230,Biosynthesis of amino acids,,
48,YlxR-1,,1.489634432806172e-08,1.117225824604629e-06,0.8,0.027586206896551724,0.05333333333333333,8.0,290.0,10.0,,map01110,Biosynthesis of secondary metabolites,,
49,YlxR-1,,6.759018520614252e-06,0.00038019479178455165,0.8,0.012678288431061807,0.0249609984399376,8.0,631.0,10.0,,map01100,Metabolic pathways,,
50,MtlR,,2.1708013759597845e-07,4.884303095909515e-05,1.0,0.1111111111111111,0.19999999999999998,3.0,27.0,3.0,,map00051,Fructose and mannose metabolism,,
51,MtlR,,0.00010388490584784416,0.011687051907882468,0.6666666666666666,0.07692307692307693,0.13793103448275862,2.0,26.0,3.0,,map02060,Phosphotransferase system (PTS),,
52,SigD,,1.7581688815410745e-23,3.955879983467418e-21,0.21621621621621623,0.64,0.3232323232323232,16.0,25.0,74.0,,map02030,Bacterial chemotaxis,,
53,SigD,,1.5751804662192701e-15,1.772078024496679e-13,0.17567567567567569,0.3939393939393939,0.2429906542056075,13.0,33.0,74.0,,map02040,Flagellar assembly,,
54,SigD,,1.7677446782912848e-08,1.3258085087184635e-06,0.1891891891891892,0.11023622047244094,0.1393034825870647,14.0,127.0,74.0,,map02020,Two-component system,,
55,TnrA-2,,2.5699444557248438e-11,5.7823750253808986e-09,0.4375,0.0707070707070707,0.1217391304347826,14.0,198.0,32.0,,map01120,Microbial metabolism in diverse environments,,
56,TnrA-2,,2.0178138724823773e-10,2.2700406065426746e-08,0.3125,0.11904761904761904,0.17241379310344826,10.0,84.0,32.0,,map00230,Purine metabolism,,
57,TnrA-2,,9.302328593624755e-08,6.976746445218566e-06,0.15625,0.29411764705882354,0.20408163265306123,5.0,17.0,32.0,,map00910,Nitrogen metabolism,,
58,TnrA-2,,0.00015839710520027583,0.008909837167515516,0.0625,0.6666666666666666,0.11428571428571428,2.0,3.0,32.0,,map00791,Atrazine degradation,,
59,TnrA-2,,0.0002859543946914782,0.01286794776111652,0.40625,0.020602218700475437,0.0392156862745098,13.0,631.0,32.0,,map01100,Metabolic pathways,,
60,TnrA-2,,0.00038519372570184094,0.014444764713819034,0.09375,0.15,0.11538461538461538,3.0,20.0,32.0,,map00220,Arginine biosynthesis,,
61,TnrA-2,,0.000523119222103359,0.016814546424750824,0.0625,0.4,0.10810810810810811,2.0,5.0,32.0,,map00460,Cyanoamino acid metabolism,,
62,SwrA,,1.2601969476894272e-27,2.835443132301211e-25,0.6,0.45454545454545453,0.5172413793103449,15.0,33.0,25.0,,map02040,Flagellar assembly,,
63,SwrA,,3.6528798856589366e-13,4.109489871366304e-11,0.32,0.32,0.32,8.0,25.0,25.0,,map02030,Bacterial chemotaxis,,
64,YlxR-2,,2.342568321203877e-14,5.270778722708723e-12,0.5384615384615384,0.35,0.4242424242424242,7.0,20.0,13.0,,map00220,Arginine biosynthesis,,
65,YlxR-2,,1.498587773907888e-08,1.6859112456463739e-06,0.5384615384615384,0.058823529411764705,0.10606060606060606,7.0,119.0,13.0,,map01230,Biosynthesis of amino acids,,
66,YlxR-2,,1.1976418297351467e-06,6.7367352922602e-05,0.5384615384615384,0.03125,0.05907172995780591,7.0,224.0,13.0,,map01130,,,
67,YlxR-2,,9.660342339195848e-07,6.7367352922602e-05,0.3076923076923077,0.14285714285714285,0.1951219512195122,4.0,28.0,13.0,,map01210,2-Oxocarboxylic acid metabolism,,
68,YlxR-2,,2.1662179553722144e-06,9.747980799174964e-05,0.3076923076923077,0.11764705882352941,0.1702127659574468,4.0,34.0,13.0,,map00250,"Alanine, aspartate and glutamate metabolism",,
69,YlxR-2,,6.858704124387781e-06,0.00025720140466454176,0.5384615384615384,0.02413793103448276,0.0462046204620462,7.0,290.0,13.0,,map01110,Biosynthesis of secondary metabolites,,
70,YlxR-2,,1.1711301049423053e-05,0.00037643467658859817,0.6923076923076923,0.014263074484944533,0.02795031055900621,9.0,631.0,13.0,,map01100,Metabolic pathways,,
71,SigK,,8.556544729494554e-07,0.00019252225641362746,0.03007518796992481,1.0,0.058394160583941604,4.0,4.0,133.0,,map00523,Polyketide sugar unit biosynthesis,,
72,SigK,,0.0004925407394882793,0.05541083319243142,0.03007518796992481,0.3076923076923077,0.0547945205479452,4.0,13.0,133.0,,map00521,Streptomycin biosynthesis,,
73,SigK,,0.0009387582681406521,0.0704068701105489,0.015037593984962405,1.0,0.029629629629629624,2.0,2.0,133.0,,map00525,Acarbose and validamycin biosynthesis,,
74,Thi-box,,3.399779296769382e-12,7.64950341773111e-10,0.3181818181818182,0.3333333333333333,0.3255813953488372,7.0,21.0,22.0,,map00730,Thiamine metabolism,,
75,Thi-box,,0.0004996311045363757,0.056208499260342264,0.45454545454545453,0.01584786053882726,0.030627871362940276,10.0,631.0,22.0,,map01100,Metabolic pathways,,
76,NusA,,2.6408174036855853e-08,5.941839158292566e-06,0.05426356589147287,0.5384615384615384,0.09859154929577466,7.0,13.0,129.0,,map00290,"Valine, leucine and isoleucine biosynthesis",,
77,NusA,,2.5020893320344543e-06,0.0002814850498538761,0.03875968992248062,0.5555555555555556,0.07246376811594203,5.0,9.0,129.0,,map00660,C5-Branched dibasic acid metabolism,,
78,NusA,,1.2530482443179124e-05,0.0009397861832384343,0.05426356589147287,0.25,0.089171974522293,7.0,28.0,129.0,,map01210,2-Oxocarboxylic acid metabolism,,
79,NusA,,0.0010398684027599137,0.05849259765524515,0.03875968992248062,0.18518518518518517,0.0641025641025641,5.0,27.0,129.0,,map00051,Fructose and mannose metabolism,,
80,FruR,,0.00011217833190361643,0.025240124678313696,0.6666666666666666,0.07407407407407407,0.13333333333333333,2.0,27.0,3.0,,map00051,Fructose and mannose metabolism,,
81,AcoR,,0.00016129199580694646,0.03629069905656295,0.5,0.08695652173913043,0.14814814814814817,2.0,23.0,4.0,,map00020,Citrate cycle (TCA cycle),,
82,AcoR,,0.0006268557217827509,0.04701417913370631,0.5,0.044444444444444446,0.0816326530612245,2.0,45.0,4.0,,map00010,Glycolysis / Gluconeogenesis,,
83,AcoR,,0.0005721232483176943,0.04701417913370631,0.5,0.046511627906976744,0.0851063829787234,2.0,43.0,4.0,,map00620,Pyruvate metabolism,,
84,Fur,,3.577690131504001e-17,8.049802795884003e-15,0.45,0.1276595744680851,0.19889502762430938,18.0,141.0,40.0,,map02010,ABC transporters,,
85,Fur,,3.116703636238114e-10,3.506291590767878e-08,0.125,0.8333333333333334,0.21739130434782608,5.0,6.0,40.0,,map01053,Biosynthesis of siderophore group nonribosomal peptides,,
86,CcpA-1,,2.703537881411471e-07,3.763123699637135e-05,0.10975609756097561,0.18,0.13636363636363638,9.0,50.0,82.0,,map00500,Starch and sucrose metabolism,,
87,CcpA-1,,3.344998844121898e-07,3.763123699637135e-05,0.08536585365853659,0.2692307692307692,0.12962962962962962,7.0,26.0,82.0,,map02060,Phosphotransferase system (PTS),,
88,CcpA-1,,5.608134520675676e-06,0.00042061008905067566,0.06097560975609756,0.3333333333333333,0.10309278350515465,5.0,15.0,82.0,,map00562,Inositol phosphate metabolism,,
89,CcpA-1,,5.754553536766045e-05,0.0032369363644309,0.13414634146341464,0.07801418439716312,0.09865470852017938,11.0,141.0,82.0,,map02010,ABC transporters,,
90,CcpA-1,,0.002078755111810993,0.09354398003149468,0.024390243902439025,0.5,0.046511627906976744,2.0,4.0,82.0,,map03320,PPAR signaling pathway,,
91,CcpN,,4.287588493880718e-06,0.0009647074111231614,0.5,0.1111111111111111,0.1818181818181818,3.0,27.0,6.0,,map00330,Arginine and proline metabolism,,
92,CcpN,,0.00010522342532341855,0.011837635348884587,0.3333333333333333,0.16666666666666666,0.2222222222222222,2.0,12.0,6.0,,map00710,Carbon fixation in photosynthetic organisms,,
