	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	project	condition	reference_condition	strain_description	base_media	carbon_source	treatment	temperature	pH	OD	growth_phase	notes	skip
ERX1449188	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378062	ERP015287	PRJEB13724	345450	ERS1127686	SAMEA3940552	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0	3248379	5863840				168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1449189	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378063	ERP015287	PRJEB13724	345450	ERS1127687	SAMEA3940553	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0	3248380	5863841				168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1449190	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378064	ERP015287	PRJEB13724	345450	ERS1127688	SAMEA3940554	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0	3248381	5863842				168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1449191	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378065	ERP015287	PRJEB13724	345450	ERS1127689	SAMEA3940555	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0	3248382	5863843				168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1449192	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378066	ERP015287	PRJEB13724	345450	ERS1127690	SAMEA3940556	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0	3248383	5863844				168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1449193	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378067	ERP015287	PRJEB13724	345450	ERS1127691	SAMEA3940557	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0	3248384	5863845				168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1449194	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378068	ERP015287	PRJEB13724	345450	ERS1127692	SAMEA3940558	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0	3248385	5863846				168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1449195	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378069	ERP015287	PRJEB13724	345450	ERS1127693	SAMEA3940559	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0	3248386	5863847				168				TRUE	TRUE	TRUE												No metadata	TRUE
ERX1819430	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752040	ERP020479	PRJEB18541	362321	ERS1470406	SAMEA24218668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624938	6239562			28099413					TRUE	TRUE	TRUE	spbeta	spbeta_nopep_20m	phi3T_pep_10m	BEST7003 with spBeta	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1819431	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752041	ERP020479	PRJEB18541	362321	ERS1470407	SAMEA24219418	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624939	6239563			28099413					TRUE	TRUE	TRUE	spbeta	spbeta_pep_20m	phi3T_pep_10m	BEST7003 with spBeta	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37					
ERX1819432	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752042	ERP020479	PRJEB18541	362321	ERS1470408	SAMEA24220168	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624940	6239564			28099413					TRUE	TRUE	TRUE	spbeta	spbeta_nopep_20m	phi3T_pep_10m	BEST7003 with spBeta	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1819433	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752043	ERP020479	PRJEB18541	362321	ERS1470409	SAMEA24220918	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624941	6239565			28099413					TRUE	TRUE	TRUE	spbeta	spbeta_pep_20m	phi3T_pep_10m	BEST7003 with spBeta	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37					
ERX1819434	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752044	ERP020479	PRJEB18541	362321	ERS1470410	SAMEA24221668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624942	6239566			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_pep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37					
ERX1819435	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752045	ERP020479	PRJEB18541	362321	ERS1470411	SAMEA24222418	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624943	6239567			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_pep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37					
ERX1819436	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752046	ERP020479	PRJEB18541	362321	ERS1470412	SAMEA24223168	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624944	6239568			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_nopep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1819437	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752047	ERP020479	PRJEB18541	362321	ERS1470413	SAMEA24223918	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624945	6239569			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_nopep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1819438	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752048	ERP020479	PRJEB18541	362321	ERS1470414	SAMEA24224668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624946	6239570			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_pep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37					
ERX1819439	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752049	ERP020479	PRJEB18541	362321	ERS1470415	SAMEA24225418	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624947	6239571			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_pep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37					
ERX1819440	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752050	ERP020479	PRJEB18541	362321	ERS1470416	SAMEA24226168	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624948	6239572			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_nopep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1819441	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752051	ERP020479	PRJEB18541	362321	ERS1470417	SAMEA24226918	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624949	6239573			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_nopep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1819442	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752052	ERP020479	PRJEB18541	362321	ERS1470418	SAMEA24227668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624950	6239574			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_pep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37					
ERX1819443	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752053	ERP020479	PRJEB18541	362321	ERS1470419	SAMEA24228418	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624951	6239575			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_pep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37					
ERX1819444	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752054	ERP020479	PRJEB18541	362321	ERS1470420	SAMEA24229168	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624952	6239576			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_nopep_10m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1819445	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752055	ERP020479	PRJEB18541	362321	ERS1470421	SAMEA24229918	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624953	6239577			28099413					TRUE	TRUE	TRUE	spbeta	phi3T_nopep_20m	phi3T_pep_10m	BEST7003 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1819446	2017-01-18 14:21:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752056	ERP020479	PRJEB18541	362321	ERS1470422	SAMEA24230668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624954	6239578			28099413	168				TRUE	TRUE	TRUE	spbeta	dcas9_anti_aimR	phi3T_pep_10m	168 dCas9-anti-aimR	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1819447	2017-01-18 14:21:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752057	ERP020479	PRJEB18541	362321	ERS1470423	SAMEA24231418	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624955	6239579			28099413	168				TRUE	TRUE	TRUE	spbeta	dcas9_anti_aimR	phi3T_pep_10m	168 dCas9-anti-aimR	LB		MnCl2(.1mM);MgCl2(5mM)	37					
ERX1819448	2017-01-18 14:21:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752058	ERP020479	PRJEB18541	362321	ERS1470428	SAMEA24235168	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624956	6239582			28099413	168				TRUE	TRUE	TRUE	spbeta	168_phi3T_pep_5m	phi3T_pep_10m	168 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37					
ERX1819449	2017-01-18 14:21:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752059	ERP020479	PRJEB18541	362321	ERS1470429	SAMEA24235918	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624957	6239583			28099413	168				TRUE	TRUE	TRUE	spbeta	168_phi3T_pep_10m	phi3T_pep_10m	168 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37					
ERX1819450	2017-01-18 14:21:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752060	ERP020479	PRJEB18541	362321	ERS1470430	SAMEA24236668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624958	6239584			28099413	168				TRUE	TRUE	TRUE	spbeta	168_phi3T_pep_20m	phi3T_pep_10m	168 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM);SAIRGA(1uM)	37					
ERX1819451	2017-01-18 14:21:19	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752061	ERP020479	PRJEB18541	362321	ERS1470431	SAMEA24237418	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	3624959	6239585			28099413	168				TRUE	TRUE	TRUE	spbeta	168_phi3T_nopep_5m	phi3T_pep_10m	168 with phi3T	LB		MnCl2(.1mM);MgCl2(5mM)	37					
