	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2	passed_fastqc	passed_reads_mapped_to_CDS	passed_global_correlation	passed_curation	passed_replicate_corr	passed_replicate_correlations
ERX1320315	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248377	ERP014057	PRJEB12568	316580	ERS1051969	SAMEA3864835	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396932	4591410				168				True	False	False	False	True	True
ERX1320316	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248378	ERP014057	PRJEB12568	316580	ERS1051970	SAMEA3864836	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396933	4591411				168				True	False	False	False	True	True
ERX1320317	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248379	ERP014057	PRJEB12568	316580	ERS1051971	SAMEA3864837	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396934	4591412				168				True	False	False	False	True	True
ERX1320318	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248380	ERP014057	PRJEB12568	316580	ERS1051972	SAMEA3864838	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396935	4591413				168				True	False	False	False	True	True
ERX1320319	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248381	ERP014057	PRJEB12568	316580	ERS1051973	SAMEA3864839	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396936	4591414				168				True	False	False	False	True	True
ERX1320320	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248382	ERP014057	PRJEB12568	316580	ERS1051974	SAMEA3864840	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396937	4591415				168				True	False	False	False	True	True
ERX1320321	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248383	ERP014057	PRJEB12568	316580	ERS1051975	SAMEA3864841	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396938	4591416				168				True	False	False	False	True	True
ERX1320322	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248384	ERP014057	PRJEB12568	316580	ERS1051976	SAMEA3864842	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396939	4591417				168				True	False	False	False	True	True
ERX1320323	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248385	ERP014057	PRJEB12568	316580	ERS1051977	SAMEA3864843	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396940	4591418				168				True	False	False	False	True	True
ERX1320324	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248386	ERP014057	PRJEB12568	316580	ERS1051978	SAMEA3864844	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396941	4591419				168				True	False	False	False	True	True
ERX1320325	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248387	ERP014057	PRJEB12568	316580	ERS1051979	SAMEA3864845	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396942	4591420				168				True	False	False	False	True	True
ERX1320326	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248388	ERP014057	PRJEB12568	316580	ERS1051980	SAMEA3864846	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396943	4591421				168				True	False	False	False	True	True
ERX1320327	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248389	ERP014057	PRJEB12568	316580	ERS1051981	SAMEA3864847	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396944	4591422				168				True	False	False	False	True	True
ERX1320328	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248390	ERP014057	PRJEB12568	316580	ERS1051982	SAMEA3864848	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396945	4591423				168				True	False	False	False	True	True
ERX1320329	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248391	ERP014057	PRJEB12568	316580	ERS1051983	SAMEA3864849	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396946	4591424				168				True	False	False	False	True	True
ERX1320330	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248392	ERP014057	PRJEB12568	316580	ERS1051984	SAMEA3864850	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396947	4591425				168				True	False	False	False	True	True
ERX1320331	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248393	ERP014057	PRJEB12568	316580	ERS1051985	SAMEA3864851	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396948	4591426				168				True	True	True	False	True	True
ERX1320332	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248394	ERP014057	PRJEB12568	316580	ERS1051986	SAMEA3864852	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396949	4591427				168				True	True	True	False	True	True
ERX1320333	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248395	ERP014057	PRJEB12568	316580	ERS1051987	SAMEA3864853	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396950	4591428				168				True	True	True	False	True	True
ERX1320334	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248396	ERP014057	PRJEB12568	316580	ERS1051988	SAMEA3864854	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396951	4591429				168				True	True	True	False	True	True
ERX1320335	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248397	ERP014057	PRJEB12568	316580	ERS1051989	SAMEA3864855	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396952	4591430				168				True	True	True	False	True	True
ERX1320336	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248398	ERP014057	PRJEB12568	316580	ERS1051990	SAMEA3864856	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396953	4591431				168				True	True	True	False	True	True
ERX1320337	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248399	ERP014057	PRJEB12568	316580	ERS1051991	SAMEA3864857	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396954	4591432				168				True	True	True	False	True	True
ERX1320338	2016-03-30 16:40:23	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR1248400	ERP014057	PRJEB12568	316580	ERS1051992	SAMEA3864858	ERA560851	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUE OF SCIENCE	0	0.0	2396955	4591433				168				True	True	True	False	True	True
ERX1449188	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378062	ERP015287	PRJEB13724	345450	ERS1127686	SAMEA3940552	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0.0	3248379	5863840				168				True	True	True	False	True	True
ERX1449189	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378063	ERP015287	PRJEB13724	345450	ERS1127687	SAMEA3940553	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0.0	3248380	5863841				168				True	True	True	False	True	True
ERX1449190	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378064	ERP015287	PRJEB13724	345450	ERS1127688	SAMEA3940554	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0.0	3248381	5863842				168				True	True	True	False	True	True
ERX1449191	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378065	ERP015287	PRJEB13724	345450	ERS1127689	SAMEA3940555	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0.0	3248382	5863843				168				True	True	True	False	True	True
ERX1449192	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378066	ERP015287	PRJEB13724	345450	ERS1127690	SAMEA3940556	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0.0	3248383	5863844				168				True	True	True	False	True	True
ERX1449193	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378067	ERP015287	PRJEB13724	345450	ERS1127691	SAMEA3940557	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0.0	3248384	5863845				168				True	True	True	False	True	True
ERX1449194	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378068	ERP015287	PRJEB13724	345450	ERS1127692	SAMEA3940558	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0.0	3248385	5863846				168				True	True	True	False	True	True
ERX1449195	2016-10-05 10:53:20	224308	Bacillus subtilis subsp. subtilis str. 168	1423	91061	224308	Bacillus subtilis	PAIRED	ILLUMINA	Illumina HiSeq 2500	ERR1378069	ERP015287	PRJEB13724	345450	ERS1127693	SAMEA3940559	ERA610255	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		CENTRO BIOLOGIA MOLECULAR SEVERO OCHOA (CBMSO)	380	0.0	3248386	5863847				168				True	True	True	False	True	True
ERX1819430	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752040	ERP020479	PRJEB18541	362321	ERS1470406	SAMEA24218668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624938	6239562								True	True	True	True	True	True
ERX1819431	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752041	ERP020479	PRJEB18541	362321	ERS1470407	SAMEA24219418	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624939	6239563								True	True	True	True	True	True
ERX1819432	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752042	ERP020479	PRJEB18541	362321	ERS1470408	SAMEA24220168	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624940	6239564								True	True	True	True	True	True
ERX1819433	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752043	ERP020479	PRJEB18541	362321	ERS1470409	SAMEA24220918	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624941	6239565								True	True	True	True	True	True
ERX1819434	2017-01-18 14:21:19	1204342	Bacillus subtilis BEST7003	1423	91061	1204342	Bacillus subtilis	SINGLE	ILLUMINA	NextSeq 500	ERR1752044	ERP020479	PRJEB18541	362321	ERS1470410	SAMEA24221668	ERA775030	RNA-Seq	unspecified	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0.0	3624942	6239566								True	True	True	True	True	True
